spacy-loggers, 1.0.5
sphinxcontrib-applehelp, 1.0.2
sphinxcontrib-devhelp, 1.0.2
sphinxcontrib-htmlhelp, 2.0.0
sphinxcontrib-jsmath, 1.0.1
sphinxcontrib-qthelp, 1.0.3
sphinxcontrib-serializinghtml, 1.1.5
spyder, 5.4.3
spyder-kernels, 2.4.4
sqlparse, 0.5.0
srsly, 2.4.8
stack-data, 0.2.0
starlette, 0.37.2
statsmodels, 0.14.0
streamlit, 1.34.0
sympy, 1.11.1
tables, 3.8.0
tabulate, 0.8.10
tblib, 1.7.0
telebot, 0.0.5
telegram, 0.0.1
tenacity, 8.2.2
tensorboard, 2.16.2
tensorboard-data-server, 0.7.2
tensorflow, 2.16.1
tensorflow-io-gcs-filesystem, 0.37.0
termcolor, 2.4.0
terminado, 0.17.1
text-unidecode, 1.3
textblob, 0.18.0.post0
textdistance, 4.2.1
thinc, 8.2.3
threadpoolctl, 2.2.0
three-merge, 0.1.1
tifffile, 2023.4.12
tiktoken, 0.6.0
tinycss2, 1.2.1
tldextract, 3.2.0
tokenizers, 0.13.2
toml, 0.10.2
tomlkit, 0.11.1
toolz, 0.12.0
tornado, 6.3.2
tqdm, 4.65.0
traitlets, 5.7.1
transformers, 4.32.1
trio, 0.25.0
trio-websocket, 0.11.1
typed-ast, 1.5.5
typeguard, 4.2.1
typer, 0.9.4
typing-extensions, 4.11.0
tzdata, 2023.3
uc-micro-py, 1.0.1
ujson, 5.4.0
urllib3, 2.2.1
uvicorn, 0.29.0
uvloop, 0.19.0
w3lib, 1.21.0
wasabi, 1.1.2
watchdog, 4.0.0
watchfiles, 0.21.0
wcwidth, 0.2.5
weasel, 0.3.4
webcolors, 1.13
webencodings, 0.5.1
websocket-client, 0.58.0
websockets, 12.0
whatthepatch, 1.0.2
wheel, 0.38.4
widgetsnbextension, 4.0.5
word2number, 1.1
wordcloud, 1.9.3
wrapt, 1.14.1
wsproto, 1.2.0
wurlitzer, 3.0.2
xarray, 2023.6.0
xgboost, 2.0.3
xxhash, 2.0.2
xyzservices, 2022.9.0
y-py, 0.5.9
yapf, 0.31.0
yarl, 1.8.1
yfinance, 0.2.38
ypy-websocket, 0.8.2
yt-dlp, 2024.4.9
zict, 2.2.0
zipp, 3.11.0
zope.interface, 5.4.0
